49002749,
49578627,
49578644,
49578706,primary
222843775,
222843841,primary
222843847,trunk
222843941,secondary
222844541,secondary_link
222845487,secondary
222845513,service
222846552,secondary
222846875,secondary
222846876,secondary
222846877,secondary
222848011,residential
222849522,
222850316,secondary
222869384,tertiary
222869500,
222870551,residential
222870552,residential
222884184,residential
222885507,secondary
222885508,secondary
222885545,service
222885921,tertiary
222886022,tertiary
222886023,tertiary
222886040,tertiary
222886106,tertiary
222886170,
222886544,
222887825,
222980779,residential
222980925,residential
222980941,residential
222980942,residential
222981018,residential
222981181,service
222981326,motorway_link
222981338,motorway_link
222981339,motorway_link
222981660,
222981733,
222981734,
223010052,
223010053,
223010054,
223109467,residential
223109845,
223109884,residential
223110684,service
223110685,service
223373475,
223373526,
223373727,
223390540,
223390772,
223390815,
223800216,
223800802,
223800829,
223800907,
223801409,
223801440,service
223801441,service
223801488,service
223801674,residential
223801798,service
223802131,residential
223802267,residential
223802310,service
223802529,service
223802577,service
223802735,tertiary
223802802,tertiary
223802863,tertiary
223802864,tertiary
223803026,
223803696,tertiary
223803885,tertiary
224196120,tertiary
224196182,secondary
224196283,tertiary
224196506,
224196507,
224196508,
224196550,residential
224196572,residential
224196599,residential
224196613,residential
224196614,residential
224196639,residential
224196645,residential
224196732,residential
224196735,residential
224196743,residential
224196798,residential
224196820,residential
224196823,residential
224196836,residential
224197027,residential
224197127,service
224197257,
224197492,
224197572,residential
224197613,residential
224197709,tertiary
224197710,tertiary
224247590,secondary
224319279,service
224337702,residential
224338037,residential
224338038,tertiary
224338039,tertiary
224358330,tertiary
224358420,tertiary
224358528,residential
224358554,residential
224360001,living_street
224360051,service
224361876,residential
224361970,service
224616634,tertiary
224616640,tertiary
224616656,service
224616657,service
224616658,service
224616799,
224616958,
224616987,
224617525,
224618346,steps
224618347,steps
224618348,steps
224618611,
224618643,
224618699,steps
224618824,service
224620637,residential
224620696,service
224620813,service
224621809,residential
224632256,
224632398,service
224632426,service
224632477,service
224632478,service
224632491,service
224632609,service
224632616,service
224632643,service
224632777,service
224632779,service
224633155,service
224633262,service
224633263,service
224633265,service
224633266,service
224633287,service
224633333,service
224645565,cycleway
224645721,tertiary
224645831,trunk
224646314,trunk
224646370,trunk
224646555,trunk
224646753,tertiary
224646915,trunk
224647242,trunk
224648670,tertiary
224649207,secondary
224649271,secondary
224649272,secondary
224649358,tertiary
224649796,trunk
224703150,service
224703151,service
224703152,service
224703153,service
224703154,service
224703488,service
224703506,residential
224703668,
224709419,
224709518,
224711057,
224712601,service
224712674,service
224713020,service
224713086,service
224713215,service
224713313,service
224995698,residential
225190854,residential
225190884,residential
225190885,residential
225190886,residential
225190887,residential
225190919,tertiary
225190986,tertiary
225190987,secondary
225191375,secondary
225191377,secondary
225221081,residential
225221108,residential
225221109,residential
225357119,
225359378,
225360249,
225361712,
225361822,
225361844,
225361845,service
225361910,secondary
225361911,secondary
225361913,secondary
225361914,secondary
225361931,residential
225361951,service
225372108,path
225372298,motorway_link
225372373,path
225372444,service
225372451,service
225372569,residential
225372570,residential
225372602,residential
225372603,residential
225372604,residential
225372614,residential
225372615,residential
225372631,residential
225372632,residential
225372656,service
225372663,service
225372667,service
225372668,service
225372671,service
225372849,service
225372850,service
225372867,service
225372925,service
225372926,service
225373091,residential
225373092,service
225373097,service
225373098,service
225373158,service
225373159,service
225373282,service
225373283,service
225373284,service
225373479,service
225373482,residential
225373935,tertiary
225373957,
225373958,service
225374174,residential
225374177,service
225376413,service
225376415,service
225376672,service
225376673,service
225377352,service
225377354,service
225377505,service
225377523,service
225377537,service
225377663,service
225377664,service
225377665,service
225377666,service
225377671,service
225377798,service
225377817,service
225377848,service
225377982,service
225378161,service
225378199,service
225378234,residential
225378240,residential
225378264,service
225378339,service
225378352,service
225378392,service
225378401,service
225378441,service
225378565,service
225378566,service
225378567,service
225378577,service
225378617,service
225378928,service
225378990,service
225378991,service
225379007,service
225379033,service
225379097,service
225379113,service
225379144,service
225379145,service
225379146,service
225379232,
225379401,service
225379402,service
225379404,service
225379557,service
225379707,service
225379741,service
225379921,
225380008,
225380214,residential
225380235,residential
225380261,service
225380271,service
225380272,service
225380303,service
225380373,service
225380392,service
225380416,service
225380436,residential
225380503,residential
225380534,residential
225381407,residential
225381409,residential
225381411,residential
225381854,residential
225382545,residential
225382572,service
225382587,service
225382599,service
225382779,service
225383024,service
225383307,service
225383529,tertiary
225383530,service
225383556,tertiary
225383648,tertiary
225383685,service
225383686,service
225383694,service
225383695,service
225383735,footway
225383736,tertiary
225383831,tertiary
225383832,tertiary
225383858,service
225383977,
225385071,
225385112,
225385113,
225385258,service
225385381,service
225385382,service
225385540,service
225385541,service
225385556,service
225385593,service
225385684,service
225385685,service
225385755,
225385807,pedestrian
225385813,service
225386973,service
225387011,service
225387012,service
225387046,service
225387048,residential
225387054,service
225387062,service
225387089,steps
225387106,residential
225387107,service
225387140,service
225387141,service
225387142,service
225387160,service
225387161,service
225387162,service
225387480,service
225387481,service
225387482,service
225387483,service
225387484,service
225387597,service
225387598,service
225387626,service
225387645,service
225387646,service
225387675,service
225387676,service
225387721,service
225387722,service
225387763,service
225387845,service
225389499,service
225389533,service
225390985,service
225390987,service
225390988,service
225391867,residential
225391868,residential
225392288,service
225392603,residential
225392605,service
225392921,service
225393238,residential
225393509,service
225393523,service
225393536,service
225393637,service
225393638,service
225393652,residential
225393672,residential
225393817,residential
225393822,residential
225393939,service
225393944,service
225393975,service
225394008,service
225394009,service
225394026,residential
225394063,service
225394083,service
225394084,residential
225394085,service
225394100,service
225394145,service
225394234,service
225394303,service
225398789,service
225398790,service
225398850,service
225398873,service
225399037,service
225399038,service
225399039,service
225399040,service
225399041,service
225399993,service
225399994,service
225399995,service
225399996,service
225399997,service
225399998,service
225399999,service
225400000,service
225400001,service
225400002,service
225400003,service
225400004,service
225400005,service
225400006,service
225400007,service
225400008,service
225400009,service
225400010,service
225400506,service
225400528,service
225400556,service
225400628,service
225400629,service
225400649,service
225400759,service
225400760,service
225400905,service
225400909,service
225400910,service
225400916,service
225401310,service
225401312,service
225401509,service
225401920,service
225401921,service
225401923,service
225402333,service
225402340,service
225402341,service
225402347,service
225402352,service
225402353,service
225402448,service
225402449,service
225402450,service
225402688,secondary
225404384,service
225405186,service
225405188,service
225407683,service
225407685,service
225408306,service
225408310,service
225408316,service
225408344,service
225408372,service
225408373,service
225408426,service
225408433,service
225408479,service
225408484,service
225408560,service
225408561,service
225408562,service
225408594,service
225408625,service
225408626,service
225408651,service
225408696,service
225408803,service
225408805,service
225408824,service
225408827,service
225408865,service
225532725,service
225532751,service
225532769,service
225532784,service
225532785,service
225532786,service
225533909,residential
225534689,service
225534712,living_street
225534741,residential
225534774,service
225534843,service
225534975,service
225535612,service
225536092,service
225536093,service
225536182,residential
225536284,service
225536285,service
225536288,service
225536293,service
225536294,service
225536338,living_street
